Site ID?,Camera or song meter ID?,Checked by?,Assistants?,What are you doing?,Have you taken a waypoint on your GPS?,Song meter set up correctly? ,Camera date and time correct? ,Photos / videos taken by camera?,Battery Status?,SD card swapped? ,New SD card ID?,ID of SD card in camera?,SD card taken? ,Habitat type?,Notes / Comments,Photo of SD card ID,Photo of camera or song meter ID,Photo of camera or song meter set-up,Date,Time,Location,Entry_ID,Photo of SD card ID.http,Photo of camera or song meter ID.http,Photo of camera or song meter set-up.http,__id
test,test,test,test,Camera set-up,Yes,,Yes,,,,test,,,Primary forest,test,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-10-24 13.26.51.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/1000000020.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-10-24 13.28.39.jpg,10/24/2025,1:25:00 PM,"-25.7764094,28.3353826",1,https://drive.google.com/uc?id=1K7MvJSmEw1TsYCTcdwCykFPtADv1WHXh,https://drive.google.com/uc?id=1yGVloQHuIJIPOVFRL25RzHrdvn2KKCHs,https://drive.google.com/uc?id=1asswFueHUfHtKlkA5BYZC4T8dlScNjgj,KHRzZmZzcCpGa3l1MXcxMlJYcCs
B50_1,C139,"STS, MMLASN, HLW",Ezekiel Tokpah,Camera set-up,Yes,,Yes,,,,C139a,,,"Primary forest, Hillside, High primary with understory ",The camera was set up about 411m away from the point near a termite mount in a possible chimpanzee habitat.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 11.38.24.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 11.39.50.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 11.42.09.jpg,11/17/2025,11:32:30 AM,"7.0162127,-10.2327517",2,https://drive.google.com/uc?id=1DSma693dXdBDvDgG1hnrfFVdXIvIOuv_,https://drive.google.com/uc?id=1eWqisf9qwHO2dDphOZ_xsVY-vIKv_u1M,https://drive.google.com/uc?id=1vVY590as-VU8RPS72H03He0ecS_eVIMs,KjtJT1lmQXJ0cTQ2NE8qWjRuO1g
B50_2,C062,"STS, MML, ASN, HLW",Ezekiel Tokpah ,Camera set-up,Yes,,Yes,,,,C062a,,,"Primary forest, Hillside, High primary with understory ",The camera was set up in a primary forest about 151m away from the main point in a possible chimpanzee habitat.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 13.04.38.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 13.05.13.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 13.09.44.jpg,11/17/2025,1:00:30 PM,"7.0196834,-10.234069",3,https://drive.google.com/uc?id=1q1Z3plZbYzvEpJ-pi3CNtFJglNcKglnt,https://drive.google.com/uc?id=1Ys3lVwMB_4IHRLFk_qLulM7X4tEGOuSA,https://drive.google.com/uc?id=1iQl93Rl28LJEB1ZgeyDS6fFnf3XtQAGQ,KlNBNyh2N1UxKilMNitLYnUhdlI
B49_1,C069,"STS, MML, ASN, HLW",Ezekiel Tokpah ,Camera set-up,Yes,,Yes,,,,C069a,,,"Primary forest, High primary with understory ",The camera was set up in a primary forest with open understory about 15m away from a fruiting Parinari excelsa tree.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 14.41.20.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 14.41.51.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 14.44.17.jpg,11/17/2025,2:36:30 PM,"7.0180076,-10.2430289",4,https://drive.google.com/uc?id=1EZl2rdhUL9H49kTkGL2CfntqxGt5LMPR,https://drive.google.com/uc?id=1dc3cMGrUXZvSxIQsL7BaJJxB9aGTdxpI,https://drive.google.com/uc?id=1uGt3KDIivL1jbfn66p7AR5a3l-9sjsB6,RUhSUkB3QkUxcjQySUhSVkNnVTw
B49_2,C086,"STS, MML, ASN, HLW",Ezekiel Tokpah,Camera set-up,Yes,,Yes,,,,C086a,,,"Primary forest, Swamp, Low primary wet",The camera was set up near a wet land in a primary forest beside a termite mount.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 16.18.57.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 16.19.30.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 16.21.50.jpg,11/17/2025,4:15:30 PM,"7.015491,-10.2513285",5,https://drive.google.com/uc?id=1BUxPZSn9hWvod-0Xcdnv9U2812Bdn8nD,https://drive.google.com/uc?id=17vSmxSW1yehMrBrHCXBudc1QRyKNC9LR,https://drive.google.com/uc?id=1zZgWm2rNkdzci-4Xpu2eBWlvO4Prfptp,VGRrWHQ7ZjA7VkdRNCh2ZEFtMjU
B49_3,C131,"STS, MML, ASN, HLW",Ezekiel Tokpah ,Camera set-up,Yes,,Yes,,,,C131a,,,"Primary forest, High primary with understory ",Camera was set-up about 20m away from an old survey road on a fresh possible chimp track,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 17.15.39.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 17.16.03.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-17 17.18.27.jpg,11/17/2025,5:13:30 PM,"7.013155,-10.2436817",6,https://drive.google.com/uc?id=1jaIAaml2ZONzMCepep901LVE5DZ1elU3,https://drive.google.com/uc?id=1gIa_YQ4zvhw9jXAGVUoRC8IZbB21LFLL,https://drive.google.com/uc?id=1oYRv9fzlV3kEQB5uh3lMSOJOwEC8u7xV,KzQ0QG0qbSgqI0IhUlJ4WE9SYio
B58,C063,"STS, MML, ASN, HLW",Ezekiel Tokpah ,Camera set-up,Yes,,Yes,,,,C063a,,,"Primary forest, Secondary forest","The camera was set-up in a dense secondary forest with open canopy and understory about 591m away from the point, in a possible chimp habitat ",file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-18 11.17.23.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-18 11.17.52.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-18 11.22.16.jpg,11/18/2025,11:13:30 AM,"7.0086067,-10.2121917",7,https://drive.google.com/uc?id=1ILbZD9L-q4PAQozwyS1MkiPO9W7JVjka,https://drive.google.com/uc?id=1R-afuXl1bLo2Gb43HtKLYtyc2vVFXc1_,https://drive.google.com/uc?id=1TRdFqR0V8EzABxWkRt6eiGHUxIWx28aA,UFFERzppZTs6S0xUOlgjRERrPHQ
B57,C043,"STS, MML, ASN, HLW",Ezekiel Tokpah ,Camera set-up,Yes,,Yes,,,,C043a,,,"Primary forest, Hillside, High primary with understory ","The camera was set-up on a hillside, in a primary forest about 540m away from the point, about 30m away from a wetland.",file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-18 12.18.58.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-18 12.19.42.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-18 12.23.03.jpg,11/18/2025,12:16:30 PM,"7.0069,-10.2168517",8,https://drive.google.com/uc?id=1cxMuxFrHzOlu9DypQ8dlY3fUvt6yLC91,https://drive.google.com/uc?id=17VJ2Rnp2igD0rCr_EHbAAsqO0BDcCoJ3,https://drive.google.com/uc?id=1YOdQ0wQqgjjVPZR7Jkd7VUeyBXhsRsAE,RkldIVY5dFdWVXZHN0Fna3E8Iyo
B27,C055,"STS, MML, ASN, HLW",Samuel Sumo,Camera set-up,Yes,,Yes,,,,C055a,,,"Primary forest, High primary with understory ",The camera was set up in a primary forest with open understory and  canopy; about 10m away from an old Dahoma tree and approximately 546m away from the main point.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-19 13.16.50.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-19 13.20.23.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-19 13.22.19.jpg,11/19/2025,1:14:30 PM,"7.0884633,-10.24434",9,https://drive.google.com/uc?id=1tFwParW1vfWItrTQhxpt8Ip8l04-f4C4,https://drive.google.com/uc?id=1D4OpshgHzkH0WfTNqWrnXUm2To5j0R8i,https://drive.google.com/uc?id=18YBzqoIxlte65NfTSsS8HKJEk3cMaHbp,TSMpPmlHWXlQOGU4S09yUDBLKUs
B28,C080,"STS, MML, ASN, HLW",Samuel Sumo ,Camera set-up,Yes,,Yes,,,,C080a,,,"Primary forest, Hillside, High primary with understory , High primary wet",The camera was set up on a hillside in a primary forest with open understory and canopy; about 15m away from a wetland and approximately10m away from a termite mount under a Parinari excelsa fruiting tree.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-19 15.10.49.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-19 15.11.19.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-19 15.13.31.jpg,11/19/2025,3:09:30 PM,"7.0871045,-10.232709",10,https://drive.google.com/uc?id=1v-5iDjiJ30tRZe_s49kWURiQZ3QgMQaZ,https://drive.google.com/uc?id=1F-mv4w6G6R1uqMZvOcDQJm7c--_MUH2V,https://drive.google.com/uc?id=1xAHtZncq4PcJBIrG2LKT0PfBul38ABi1,LWI1TTYrKSgtUm9mNS0mTmUxQk4
